id,name,latitude,longitude,population
609861,CLISSOLD,41.693026,-87.680897,477
609750,SIMPSON HS,41.864365,-87.668722,22
609678,JONES HS,41.873066,-87.627675,1964
609926,FRANKLIN,41.9066,-87.635513,360
610021,CASALS,41.904503,-87.714234,368
609918,FIELD,42.009664,-87.669985,154
610062,MIÑOSO,41.829993,-87.641103,314
610029,LOZANO,41.908886,-87.665093,242
610597,VIRTUAL ACADEMY HS,41.8627144,-87.6601387,212
609733,SULLIVAN HS,42.002688,-87.669192,719
609979,HEALY,41.839595,-87.640341,1206
610157,SAWYER,41.797498,-87.705006,919
610026,KINZIE,41.789965,-87.779483,672
610249,TALMAN,41.794048,-87.690261,344
610055,FARADAY,41.879714,-87.708092,152
610228,WHITTIER,41.850481,-87.673392,177
609674,CHICAGO VOCATIONAL HS,41.737174,-87.573268,575
609817,BUDLONG,41.975754,-87.696556,729
400080,ACERO - TORRES,41.8082,-87.73045,544
609737,VON STEUBEN HS,41.973185,-87.713386,1670
609835,CAMERON,41.903792,-87.717927,612
400075,U OF C - DONOGHUE,41.827726,-87.608501,521
610405,SUDER,41.883215,-87.677636,465
610068,HANSON PARK,41.923955,-87.761515,1131
610523,EDISON PARK,41.994238,-87.813771,428
610402,DEVRY HS,41.941388,-87.690761,131
610543,SOLORIO HS,41.795201,-87.711059,1225
610312,MCDOWELL,41.733132,-87.589589,115
400123,YCCS - SCHOLASTIC ACHIEVEMENT,41.880447,-87.742539,111
610027,KIPLING,41.723627,-87.639521,223
610184,SPRY ES,41.847747,-87.700184,303
609756,CURIE HS,41.80306,-87.722042,2909
609740,WELLS HS,41.898995,-87.667483,335
610117,PASTEUR,41.786895,-87.732666,627
610132,POE,41.70263,-87.606419,229
610128,GARVEY,41.706603,-87.647577,239
609997,HOLMES,41.793788,-87.649795,123
400027,CICS - IRVING PARK,41.950891,-87.710492,510
400031,CICS - WRIGHTWOOD,41.745365,-87.692614,613
609963,HAMILTON,41.94522,-87.670865,481
610217,WARD J,41.84398,-87.635356,498
610352,DURKIN PARK,41.738844,-87.729955,675
610223,WENTWORTH,41.765076,-87.658205,383
610203,MONARCAS,41.787523,-87.708179,802
400124,YCCS - MCKINLEY,41.841331,-87.625331,92
610534,SKINNER NORTH,41.905109,-87.644841,512
610600,New Bronzeville & Englewood HS,41.809179,-87.730473,4
400089,ACERO - MARQUEZ,41.808309,-87.697394,518
609937,GARVY,41.976352,-87.796235,742
610350,BLACK,41.729692,-87.576643,356
609947,GRAHAM ES,41.813304,-87.643344,299
609755,YOUNG HS,41.878603,-87.664233,2218
609855,CHRISTOPHER,41.801659,-87.685607,306
609876,DAVIS N,41.821852,-87.700202,522
609869,LANGFORD,41.784681,-87.657169,179
610034,LAWNDALE,41.86296,-87.712957,185
610369,JACKSON M,41.734125,-87.646767,309
610125,RUIZ,41.848101,-87.680745,441
609777,ARMOUR,41.833854,-87.650653,241
610102,OGLESBY,41.75467,-87.645469,274
610191,STONE,41.995359,-87.684793,554
610004,CULLEN,41.700335,-87.611244,168
609749,NORTHSIDE PREP HS,41.981315,-87.708708,1033
609922,BELMONT-CRAGIN,41.92095,-87.757343,524
609745,SOUTHSIDE HS,41.759852,-87.675947,368
610153,RYDER,41.735379,-87.638843,359
609716,KELVYN PARK HS,41.927918,-87.735999,476
610044,LOWELL,41.90652,-87.710217,305
609705,FENGER HS,41.689951,-87.637572,206
400084,ACERO - TAMAYO,41.79993,-87.693862,269
610017,SAUCEDO,41.847941,-87.697316,855
610015,JUNGMAN,41.858065,-87.652302,291
609935,GALLISTEL,41.706801,-87.535175,605
610256,ROBINSON,41.817349,-87.599067,112
609719,LAKE VIEW HS,41.954764,-87.668953,1404
610207,VANDERPOEL,41.720817,-87.665559,237
609865,JORDAN,42.017088,-87.677763,517
609708,FOREMAN HS,41.939797,-87.754167,601
610173,SHERWOOD,41.7908,-87.632279,211
609713,HYDE PARK HS,41.782257,-87.586615,809
610291,LEE,41.775305,-87.728884,578
